ds,y
2018-08-07,135198
2018-08-08,120643
2018-08-09,128225
2018-08-10,138008
2018-08-11,72967
2018-08-12,36
2018-08-13,129193
2018-08-14,146010
2018-08-15,76495
2018-08-16,129119
2018-08-17,146359
2018-08-18,74698
2018-08-19,87
2018-08-20,127768
2018-08-21,128933
2018-08-22,138560
2018-08-23,126880
2018-08-24,123709
2018-08-25,70715
2018-08-26,34
2018-08-27,127561
2018-08-28,138446
2018-08-29,141638
2018-08-30,138173
2018-08-31,142151
2018-09-01,77471
2018-09-02,1911
2018-09-03,142669
2018-09-04,141941
2018-09-05,149926
2018-09-06,146468
2018-09-07,149226
2018-09-08,91001
2018-09-09,930
2018-09-10,136260
2018-09-11,149676
2018-09-12,146601
2018-09-13,141314
2018-09-14,141061
2018-09-15,91770
2018-09-16,51
2018-09-17,143619
2018-09-18,153775
2018-09-19,152030
2018-09-20,145672
2018-09-21,147207
2018-09-22,61088
2018-09-23,22
2018-09-24,22
2018-09-25,2442
2018-09-26,37609
2018-09-27,120027
2018-09-28,138272
2018-09-29,69856
2018-09-30,71
2018-10-01,134810
2018-10-02,146469
2018-10-03,89614
2018-10-04,133231
2018-10-05,139216
2018-10-06,68471
2018-10-07,52
2018-10-08,142171
2018-10-09,88832
2018-10-10,132217
2018-10-11,141953
2018-10-12,149046
2018-10-13,75732
2018-10-14,293
2018-10-15,125026
2018-10-16,136944
2018-10-17,141249
2018-10-18,135604
2018-10-19,142431
2018-10-20,70672
2018-10-21,42
2018-10-22,126640
2018-10-23,136625
2018-10-24,128250
2018-10-25,128076
2018-10-26,134168
2018-10-27,63573
2018-10-28,4
2018-10-29,120574
2018-10-30,137764
2018-10-31,126462
2018-11-01,138947
2018-11-02,138947
2018-11-03,64451
2018-11-04,49
2018-11-05,126033
2018-11-06,133831
2018-11-07,136442
2018-11-08,125706
2018-11-09,128938
2018-11-10,70823
2018-11-11,19
2018-11-12,129147
2018-11-13,135082
2018-11-14,131310
2018-11-15,125387
2018-11-16,130088
2018-11-17,63580
2018-11-18,83
2018-11-19,122226
2018-11-20,132186
2018-11-21,131965
2018-11-22,125300
2018-11-23,132843
2018-11-24,56012
2018-11-25,28
2018-11-26,124506
2018-11-27,126813
2018-11-28,128668
2018-11-29,118843
2018-11-30,119106
2018-12-01,67675
2018-12-02,29
2018-12-03,122841
2018-12-04,130205
2018-12-05,134471
2018-12-06,132031
2018-12-07,128103
2018-12-08,62751
2018-12-09,14
2018-12-10,119009
2018-12-11,129584
2018-12-12,128073
2018-12-13,128428
2018-12-14,130734
2018-12-15,65704
2018-12-16,42
2018-12-17,123744
2018-12-18,125339
2018-12-19,130953
2018-12-20,130100
2018-12-21,139467
2018-12-22,71829
2018-12-23,24
2018-12-24,119088
2018-12-25,45046
2018-12-26,124211
2018-12-27,132716
2018-12-28,132933
2018-12-29,65460
2018-12-30,86
2018-12-31,90549
2019-01-01,18476
2019-01-02,130099
2019-01-03,143124
2019-01-04,149846
2019-01-05,77364
2019-01-06,79
2019-01-07,134391
2019-01-08,134563
2019-01-09,146544
2019-01-10,136761
2019-01-11,153069
2019-01-12,80566
2019-01-13,548
2019-01-14,138206
2019-01-15,144385
2019-01-16,141386
2019-01-17,136261
2019-01-18,141500
2019-01-19,86757
2019-01-20,428
2019-01-21,134524
2019-01-22,143407
2019-01-23,144047
2019-01-24,133602
2019-01-25,137447
2019-01-26,80304
2019-01-27,307
2019-01-28,135205
2019-01-29,142829
2019-01-30,143767
2019-01-31,138164
2019-02-01,151298
2019-02-02,61475
2019-02-03,55
2019-02-04,2420
2019-02-06,9063
2019-02-07,116072
2019-02-08,130988
2019-02-09,75841
2019-02-10,1800
2019-02-11,124771
2019-02-12,139928
2019-02-13,138221
2019-02-14,131314
2019-02-15,136875
2019-02-16,66743
2019-02-17,1145
2019-02-18,130320
2019-02-19,136992
2019-02-20,139966
2019-02-21,141044
2019-02-22,139171
2019-02-23,66002
2019-02-24,46
2019-02-25,129146
2019-02-26,139029
2019-02-27,134697
2019-02-28,150348
2019-03-01,83978
2019-03-02,51645
2019-03-03,99
2019-03-04,130701
2019-03-05,144774
2019-03-06,141449
2019-03-07,136589
2019-03-08,151953
2019-03-09,69089
2019-03-10,668
2019-03-11,126276
2019-03-12,142037
2019-03-13,147910
2019-03-14,125390
2019-03-15,143968
2019-03-16,64313
2019-03-17,655
2019-03-18,128159
2019-03-19,142977
2019-03-20,139603
2019-03-21,139812
2019-03-22,141370
2019-03-23,71336
2019-03-24,460
2019-03-25,124869
2019-03-26,136082
2019-03-27,138142
2019-03-28,135219
2019-03-29,133834
2019-03-30,74291
2019-03-31,705
2019-04-01,133380
2019-04-02,136536
2019-04-03,144720
2019-04-04,133618
2019-04-05,138497
2019-04-06,68864
2019-04-07,336
2019-04-08,126637
2019-04-09,140259
2019-04-10,137328
2019-04-11,137644
2019-04-12,128963
2019-04-13,73415
2019-04-14,289
2019-04-15,127730
2019-04-16,126605
2019-04-17,132511
2019-04-18,135225
2019-04-19,136266
2019-04-20,77299
2019-04-21,657
2019-04-22,130641
2019-04-23,144217
2019-04-24,129154
2019-04-25,125297
2019-04-26,124370
2019-04-27,79292
2019-04-28,4
2019-04-29,124926
2019-04-30,142132
