ds,y
2019-01-10,233842
2019-01-11,225015
2019-01-12,104686
2019-01-13,32716
2019-01-14,226717
2019-01-15,252568
2019-01-16,234325
2019-01-17,235885
2019-01-18,234653
2019-01-19,116058
2019-01-20,40098
2019-01-21,222625
2019-01-22,252791
2019-01-23,234546
2019-01-24,235754
2019-01-25,268118
2019-01-26,114214
2019-01-27,36758
2019-01-28,218909
2019-01-29,249588
2019-01-30,248536
2019-01-31,735773
2019-02-01,397489
2019-02-02,104125
2019-02-03,30986
2019-02-04,15130
2019-02-05,2594
2019-02-06,33442
2019-02-07,195938
2019-02-08,216367
2019-02-09,100961
2019-02-10,33389
2019-02-11,222611
2019-02-12,231242
2019-02-13,220906
2019-02-14,223057
2019-02-15,220087
2019-02-16,96705
2019-02-17,32723
2019-02-18,211901
2019-02-19,206427
2019-02-20,223558
2019-02-21,217436
2019-02-22,210371
2019-02-23,100979
2019-02-24,31333
2019-02-25,239651
2019-02-26,247430
2019-02-27,243283
2019-02-28,561708
2019-03-01,242901
2019-03-02,95911
2019-03-03,34348
2019-03-04,236064
2019-03-05,246945
2019-03-06,234145
2019-03-07,235826
2019-03-08,220737
2019-03-09,101322
2019-03-10,34336
2019-03-11,231988
2019-03-12,226164
2019-03-13,224893
2019-03-14,221285
2019-03-15,222391
2019-03-16,103463
2019-03-17,33110
2019-03-18,205068
2019-03-19,221945
2019-03-20,226355
2019-03-21,217961
2019-03-22,210045
2019-03-23,96145
2019-03-24,32550
2019-03-25,246806
2019-03-26,231345
2019-03-27,225462
2019-03-28,228972
2019-03-29,224993
2019-03-30,113856
2019-03-31,510099
2019-04-01,359211
2019-04-02,236474
2019-04-03,224628
2019-04-04,220651
2019-04-05,214826
2019-04-06,97745
2019-04-07,32857
2019-04-08,222130
2019-04-09,222318
2019-04-10,223851
2019-04-11,215845
2019-04-12,207447
2019-04-13,92656
2019-04-14,33068
2019-04-15,215991
2019-04-16,224308
2019-04-17,222652
2019-04-18,224014
2019-04-19,213993
2019-04-20,97368
2019-04-21,35472
2019-04-22,211689
2019-04-23,215723
2019-04-24,213210
2019-04-25,271461
2019-04-26,207705
2019-04-27,99586
2019-04-28,32077
2019-04-29,216403
2019-04-30,622230
