ds,y
2018-11-28,1713
2018-11-29,3843
2018-11-30,334500
2018-12-01,267487
2018-12-02,1124
2018-12-03,2295
2018-12-04,2220
2018-12-05,2376
2018-12-06,1680
2018-12-07,1805
2018-12-08,1025
2018-12-09,828
2018-12-10,2023
2018-12-11,1685
2018-12-12,1343
2018-12-13,1511
2018-12-14,2168
2018-12-15,3246
2018-12-16,1975
2018-12-17,1953
2018-12-18,1835
2018-12-19,1609
2018-12-20,8071
2018-12-21,2058
2018-12-22,784
2018-12-23,1997
2018-12-24,2149
2018-12-25,41097
2018-12-26,6516
2018-12-27,1972
2018-12-28,2832
2018-12-29,830
2018-12-30,805
2018-12-31,343194
2019-01-01,296815
2019-01-02,2253
2019-01-03,2049
2019-01-04,1904
2019-01-05,1506
2019-01-06,2465
2019-01-07,1841
2019-01-08,1902
2019-01-09,1875
2019-01-10,1991
2019-01-11,1919
2019-01-12,1860
2019-01-13,692
2019-01-14,2217
2019-01-15,8020
2019-01-16,2914
2019-01-17,2896
2019-01-18,2442
2019-01-19,1961
2019-01-20,7302
2019-01-21,2777
2019-01-22,2719
2019-01-23,3298
2019-01-24,2767
2019-01-25,48360
2019-01-26,4704
2019-01-27,1050
2019-01-28,3357
2019-01-29,2661
2019-01-30,2931
2019-01-31,442986
2019-02-01,236230
2019-02-02,2375
2019-02-03,1166
2019-02-04,672
2019-02-05,216
2019-02-06,642
2019-02-07,2411
2019-02-08,2570
2019-02-09,1998
2019-02-10,897
2019-02-11,2222
2019-02-12,2468
2019-02-13,2100
2019-02-14,2852
2019-02-15,8557
2019-02-16,1615
2019-02-17,1049
2019-02-18,2260
2019-02-19,3292
2019-02-20,4037
2019-02-21,4224
2019-02-22,2416
2019-02-23,2499
2019-02-24,1116
2019-02-25,40675
2019-02-26,5808
2019-02-27,2627
2019-02-28,339092
2019-03-01,79606
2019-03-02,1489
2019-03-03,733
2019-03-04,1663
2019-03-05,1822
2019-03-06,2289
2019-03-07,1631
2019-03-08,1856
2019-03-09,1423
2019-03-10,989
2019-03-11,1245
2019-03-12,2421
2019-03-13,2654
2019-03-14,1941
2019-03-15,6463
2019-03-16,1417
2019-03-17,979
2019-03-18,1750
2019-03-19,2488
2019-03-20,4702
2019-03-21,13657
2019-03-22,1701
2019-03-23,1873
2019-03-24,752
2019-03-25,41565
2019-03-26,4892
2019-03-27,2598
2019-03-28,14218
2019-03-29,12293
2019-03-30,1583
2019-03-31,543909
2019-04-01,237551
2019-04-02,2243
2019-04-03,2384
2019-04-04,2403
2019-04-05,2136
2019-04-06,1301
2019-04-07,322
2019-04-08,1311
2019-04-09,2801
2019-04-10,1851
2019-04-11,2115
2019-04-12,2105
2019-04-13,1733
2019-04-14,247
2019-04-15,5356
2019-04-16,1854
2019-04-17,1810
2019-04-18,2052
2019-04-19,1937
2019-04-20,3508
2019-04-21,1898
2019-04-22,1784
2019-04-23,3047
2019-04-24,2636
2019-04-25,45467
2019-04-26,6484
2019-04-27,1044
2019-04-28,256
2019-04-29,2107
2019-04-30,386048
